Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
06-MAR-2025,12414.25,12438.4,12307.9,12427.45,1469994977,59135.73
07-MAR-2025,12413.4,12478.9,12381.7,12416,1375447291,47243.78
10-MAR-2025,12408.15,12483.1,12304.45,12323.4,1509306668,48262.2
11-MAR-2025,12242.95,12378.05,12219.35,12360.1,1541223248,57924.11
12-MAR-2025,12388.75,12416.6,12241.85,12338.45,1682149737,59493.94
13-MAR-2025,12383.95,12397.8,12275.55,12286.6,1375662798,46738.69
17-MAR-2025,12275.25,12395.65,12275.15,12355.95,1212262716,46127.51
18-MAR-2025,12437.4,12584.2,12405.95,12570.6,1328687288,52049.8
19-MAR-2025,12602.3,12700.4,12568.5,12681.65,1942742700,62106.69
20-MAR-2025,12757.2,12827.75,12691.95,12813.55,1568501098,60461.01
21-MAR-2025,12806,12943.75,12786.5,12919.9,2490529189,95377.54
24-MAR-2025,13014.25,13121.35,12967.8,13088.45,1784568646,63126.01
25-MAR-2025,13153.65,13185.55,13009.45,13041.25,1759229607,69140.82
26-MAR-2025,13056.75,13097.6,12937,12951.45,1794288835,60429.8
27-MAR-2025,12917.25,13055.2,12909.9,13029.2,3462606684,102079.96
28-MAR-2025,13043.2,13085.15,12945.35,12982.75,2164712012,68031.05
01-APR-2025,12907.75,13018.8,12791.45,12809.3,3429383660,58858.1
02-APR-2025,12827.65,12936.1,12784.15,12927.85,2014656941,52454.69
03-APR-2025,12824.8,12913.9,12822.2,12901.25,1746762981,57175.71
04-APR-2025,12873.15,12882.05,12623.25,12658.7,1969156978,70396.31
07-APR-2025,11945.1,12291.4,11941.45,12242.35,2529160160,88660.53
08-APR-2025,12428.65,12537.3,12310.7,12465,1919597955,66609.82
09-APR-2025,12430.4,12430.6,12338.05,12397.95,1629373292,56454.76
11-APR-2025,12584.25,12674.65,12561.25,12623.85,1726801659,63502.53
15-APR-2025,12908.1,12947.75,12820.15,12931.7,1757948864,67670.2
16-APR-2025,12944.75,13008.35,12907.05,13001,1741123019,59924.7
17-APR-2025,12984.2,13199.7,12934.8,13186.1,1902639133,70273.01
21-APR-2025,13249.4,13399.55,13219.2,13378.65,2692715615,70270.77
22-APR-2025,13417.05,13462.3,13346.3,13416,1939226146,70663.05
23-APR-2025,13512.75,13524.2,13371.3,13517.55,2008070176,81387.37
24-APR-2025,13502.9,13538.15,13463.45,13480.2,1721141738,70465.43
25-APR-2025,13505.15,13545.05,13189.65,13296.85,3369452194,75497.12
28-APR-2025,13300.05,13478.35,13297.45,13464.6,1478116383,59458.8
29-APR-2025,13496.9,13551.45,13451.05,13469,1639480524,69736.2
30-APR-2025,13475.7,13509.45,13368.55,13438.15,1719574084,77466.1
02-MAY-2025,13423.6,13572.2,13368.5,13423.5,1573555602,65536.94
05-MAY-2025,13471.15,13548.25,13465.9,13535.8,1388055040,60985.48
06-MAY-2025,13559.4,13561.25,13383.35,13407.25,1899716337,59218.24
07-MAY-2025,13295.1,13471.45,13292.35,13464.4,1791446758,68520.18
08-MAY-2025,13482.95,13498.45,13257.8,13326.75,1838844210,70985.05
09-MAY-2025,13111.35,13262.35,13111.35,13217.7,2341399496,65247.42
12-MAY-2025,13492.25,13743.55,13477.3,13733.8,2208829809,69786.53
13-MAY-2025,13715.25,13766.55,13588.75,13604.9,1961657428,77563.51
14-MAY-2025,13630.55,13718.55,13602.8,13677.95,1885871398,72909.45
15-MAY-2025,13701.65,13884.6,13611,13865.8,2275345371,86753.15
16-MAY-2025,13880.15,13907.45,13838.85,13896.35,2324399211,97829.57
19-MAY-2025,13904.35,13940.8,13865.35,13879.4,2992302312,65946.93
20-MAY-2025,13919.8,13927.45,13693.55,13704.9,2218231688,73102.87
21-MAY-2025,13734.4,13846.8,13701.55,13795.2,1699986086,59904.06
22-MAY-2025,13757.05,13758.6,13618.25,13698.55,1680854787,68419.58
23-MAY-2025,13718.65,13839.5,13696.85,13817.85,1328313274,52896.69
26-MAY-2025,13859.05,13937.9,13853.75,13898.2,1663512682,49305.75
27-MAY-2025,13884.9,13927.35,13767.7,13829.3,1759650189,77591.02
28-MAY-2025,13839.95,13857.15,13785.65,13794.75,2175514543,68928.07
29-MAY-2025,13841.2,13868.1,13766.75,13841.55,1521321777,63584.01
30-MAY-2025,13841.8,13870.7,13775.6,13798.4,3545279731,112997.07
02-JUN-2025,13766.8,13826.15,13710.5,13808.05,2382932154,59129.55
03-JUN-2025,13850.6,13874.95,13707.25,13719.9,3592923859,67707.75
04-JUN-2025,13735.15,13782.75,13695.35,13772.05,2160160638,62993.58
